id,label
192,old
241,old
294,old
328,young
338,old
395,old
397,none
415,old
428,young
459,old
474,young
488,old
536,young
544,old
564,old
589,young
623,old
692,young
693,young
764,young
785,old
831,young
872,old
885,old
962,old
969,none
999,old
1000,young
1089,old
1146,old
1149,old
1164,young
1180,old
1268,young
1292,young
1296,young
1369,old
1404,young
1436,old
1591,old
1592,young
1667,young
1668,old
1700,young
1757,old
1841,old
1948,old
1955,young
1960,old
1987,old
2142,old
2153,old
2225,young
2235,old
2239,young
2261,old
2477,old
2525,young
2562,old
3103,old
3109,old
3156,old
3310,old
3326,old
3382,old
3488,young
3580,old
3590,old
3716,old
3761,old
3786,old
3837,young
3934,young
3938,old
3964,old
4011,old
4021,old
4066,old
4092,old
4134,old
4187,old
4211,old
4227,young
4243,young
4246,young
4266,old
4275,young
4312,old
4359,old
4386,old
4395,old
4438,old
4498,young
4509,old
4554,old
4592,old
4688,old
4700,young
4731,young
4736,old
4742,young
4765,old
4916,young
4972,old
4980,young
5001,young
5038,old
5060,old
5064,old
5105,old
5124,young
5205,old
5245,old
5247,old
5325,old
5385,old
5513,young
5529,old
5535,old
5644,young
5670,old
5673,old
5713,young
5728,old
5802,young
5879,old
5961,old
6033,young
6189,old
6393,none
6471,old
6579,young
6593,old
6658,old
6662,young
6712,young
6719,old
6748,old
6763,old
6847,old
6894,old
6896,old
6906,old
6921,old
6954,young
7050,old
7088,young
7125,old
7149,old
7207,old
7274,old
7278,old
7298,young
7304,young
7325,old
7333,young
7511,old
7519,old
7593,young
7789,old
7816,old
7873,old
7938,old
7977,old
8065,old
8191,old
8211,old
8443,old
8483,old
8495,old
8532,old
8589,young
8594,old
8647,old
8690,young
8771,old
8787,none
8803,old
8832,young
8844,old
8923,young
9003,young
9007,old
9105,old
9270,young
9378,old
9448,young
9450,young
9483,old
9590,old
9628,old
9647,old
9800,old
9801,old
9813,old
9891,old
9927,old
10012,old
10014,old
10023,young
10040,old
10104,old
10123,young
10138,old
10142,old
10149,old
10192,young
10205,old
10249,old
10386,old
10393,old
10442,old
10463,young
10534,old
10591,old
10644,old
10693,old
10698,old
10705,old
10707,old
10764,old
10766,young
10779,young
10785,young
10825,young
10837,old
10920,none
10966,old
11034,old
11115,old
11149,none
11291,old
11300,young
11316,young
11340,old
11449,old
11538,old
11567,old
11625,old
11655,old
11699,young
12020,old
12047,old
12081,old
12085,old
12115,old
12147,old
12153,young
12192,young
12209,old
12238,old
12269,young
12370,old
12448,young
12576,old
12639,young
12700,old
12741,young
12809,old
12817,old
12827,old
12881,old
12897,old
12927,young
12938,old
12946,old
12947,old
12979,old
12991,old
13081,old
13132,old
13148,old
13175,young
13177,old
13201,old
13220,young
13291,old
13379,old
13465,old
13473,old
13525,old
13546,young
13550,old
13637,old
13639,old
13659,old
13783,old
13904,old
13943,old
13985,old
14004,old
14029,old
14041,young
14088,old
14135,old
14167,young
14175,old
14226,old
14248,old
14257,old
14392,old
14428,young
14547,old
14549,old
14562,old
14591,old
14600,old
14629,old
14635,old
14756,old
14874,old
14892,young
14941,old
14961,old
14975,old
15017,old
15029,old
15032,young
15055,old
15067,old
15140,old
15303,young
15345,young
15469,old
15559,old
15581,old
15597,old
15600,young
15663,old
15687,old
15725,old
15738,old
15818,old
15846,old
15883,old
15908,young
15956,old
15968,old
15994,old
16005,young
16064,old
16076,old
16237,old
16238,old
16249,old
16257,young
16285,old
16308,old
16327,old
16356,young
16382,old
16491,old
16497,young
16521,young
16590,old
16593,old
16598,old
16775,old
16875,old
16879,old
16897,old
16905,old
16959,young
16961,old
17003,old
17073,old
17095,old
17244,old
17267,old
17273,old
17311,old
17449,old
17482,old
17534,old
17776,old
17869,old
17899,old
