id,label
428,young
564,old
831,young
1369,old
1960,young
1987,none
2261,old
3109,young
3488,young
6189,old
6921,young
8065,old
8589,young
10023,young
10040,old
10104,old
10149,old
10463,none
10966,old
11291,old
11316,young
12020,young
12147,none
13175,old
13985,old
14961,young
15559,old
16961,old
18111,none
18336,young
18783,old
18824,old
19456,old
20178,old
20935,young
21879,young
22935,young
23084,young
23359,old
24247,young
24755,old
24869,young
25005,old
25654,young
25896,old
26573,none
27642,old
29030,young
29045,young
29059,young
29521,old
29587,old
29727,young
29776,old
29833,old
29934,young
31121,old
32151,old
32510,young
32760,none
32901,old
33815,old
33871,none
34015,old
34214,young
35313,old
35705,young
36810,none
37655,young
38586,old
38829,young
39368,none
39630,old
40275,old
40821,old
41875,young
42288,old
42482,young
42752,old
42944,young
43305,young
43693,young
43753,old
43957,old
44165,old
44171,young
44195,old
44279,old
44677,none
44877,old
46269,old
46331,old
46859,old
46872,old
46975,young
47419,old
47425,none
48169,young
49096,old
49444,old
50145,old
50324,none
50326,old
50514,none
50627,old
50767,old
51549,old
52066,old
52267,young
52596,young
53015,none
53800,none
53802,old
54277,old
54301,old
54329,old
54796,young
55017,none
56669,old
56701,old
56724,old
56983,none
58137,none
59207,old
61899,none
61997,old
62297,young
62687,none
63047,old
64868,young
64909,young
67131,none
67156,old
67537,old
67969,old
67975,old
69213,old
69328,young
69568,old
69827,old
70675,old
70945,none
71072,old
71095,old
71826,old
72657,young
73668,young
73773,old
74256,old
75494,young
75655,young
75696,old
76468,old
76738,none
77615,none
77754,young
78061,old
78627,old
79014,old
80834,old
81103,old
81988,young
83257,old
83466,old
83768,none
84521,old
86036,young
88345,old
88455,none
90519,none
90646,young
91105,young
91263,old
91318,old
92131,none
92190,young
92335,none
92768,old
93175,young
95702,old
95770,young
96226,old
96539,old
97800,old
98280,old
98350,old
98434,old
98514,none
98656,old
98717,young
99067,old
99518,old
101172,old
102353,old
102355,old
102532,young
102928,young
103485,young
104091,none
104422,old
104486,old
106073,old
106484,old
106575,old
107227,old
107367,young
107430,old
107741,young
109403,old
110597,young
111683,young
111819,old
113473,old
113722,none
113890,none
113975,old
114313,old
114414,none
114884,none
115636,none
115870,old
116046,old
116061,old
116083,none
116149,young
116439,old
118256,young
118542,young
119075,young
119640,young
121591,young
121748,young
122467,none
122549,old
123125,none
124013,young
126995,young
130586,young
131919,young
132223,young
132615,none
133210,young
133327,young
133596,young
133876,old
133933,young
134193,old
135117,none
135281,none
136833,none
136841,young
137622,young
138075,old
138220,old
138970,none
139163,old
140068,old
140642,none
141135,old
143931,none
144273,old
144438,old
144694,young
145019,none
145227,young
145665,young
146675,old
147154,old
147667,old
148570,old
148662,old
148843,old
149571,old
149780,none
151781,young
152598,old
154145,old
155285,young
155465,young
156341,none
156375,old
156620,none
156756,old
157271,none
157516,old
157592,old
157771,old
157944,old
158118,none
158182,none
158412,old
158744,none
159898,young
160345,old
160456,none
160607,young
161925,young
162021,young
162530,old
162580,young
162829,none
163257,old
163562,none
163575,old
165638,young
167271,old
167792,young
168650,old
169547,old
169802,young
169858,young
169885,young
170779,old
171371,young
173204,old
174690,none
174871,none
175052,young
175096,old
175437,old
175804,none
178587,old
180584,old
180718,old
181118,none
181383,old
182025,young
182362,young
184978,none
185598,young
185768,none
185925,old
186060,old
187278,young
187451,old
187722,none
188624,young
189588,old
189855,young
191842,none
192306,old
192787,old
193112,young
194158,none
194499,young
195798,old
196074,young
196336,old
197369,young
197918,young
198489,young
198733,young
198768,old
199310,old
199404,old
199437,none
199516,none
199881,old
199927,old
200047,none
200348,young
201045,young
201326,young
203085,young
203138,none
203509,old
203878,young
204935,young
205594,old
205670,old
206036,old
206613,none
207239,young
207635,young
208347,young
208748,old
208778,none
210857,old
210915,young
212080,old
212739,young
214121,young
214247,none
214961,none
215396,young
215622,young
215914,old
216325,young
216449,young
216510,young
217009,old
217303,old
217936,old
218060,old
218997,none
219201,none
219984,none
220638,young
221105,old
221524,young
222430,old
222648,old
222771,none
223241,none
223764,young
226119,young
226147,old
226762,old
227019,none
227204,old
227482,young
228910,old
229184,none
229984,none
230360,none
230585,old
230964,old
232241,old
232243,old
232563,old
232610,young
232684,old
233483,young
233915,old
234136,young
234945,old
234953,old
236505,old
236766,young
237118,old
237496,young
238013,old
238449,young
240481,old
240950,old
242452,young
242510,none
242610,young
243482,old
243852,none
243980,old
243989,young
245313,none
246066,old
246562,none
247625,old
247918,old
248051,young
248786,old
249453,old
250335,old
250870,old
251395,old
252091,old
252135,old
252300,young
252559,none
252745,old
256547,none
257198,old
257624,young
258734,young
259853,young
260440,young
260695,young
260994,old
261061,young
261705,none
262353,old
264853,old
267411,old
267684,old
268620,old
269033,old
269172,young
270420,young
270474,young
270544,young
270571,young
270672,young
270677,young
270702,young
270708,young
270738,young
270744,old
270815,old
270908,old
271116,old
271230,none
271259,old
271402,young
271429,old
271546,old
271607,young
271639,young
271643,young
271666,old
271681,old
271759,old
271772,none
271852,none
271929,old
271997,young
272048,none
272110,young
272117,old
272153,old
272253,old
272262,young
272323,old
272357,old
272440,young
272566,old
272599,young
272666,young
272678,young
272949,old
272955,young
272958,young
273059,young
273086,none
273132,old
273155,old
273190,young
273232,old
273316,old
273317,old
273321,old
273416,none
273420,old
273470,old
273579,old
273582,old
273637,old
273684,old
273708,old
273711,none
273728,old
273760,old
273784,none
273825,old
273855,young
273889,young
273961,old
273967,young
274010,young
274014,old
274035,old
274066,young
274083,old
274216,old
274219,old
274240,young
274352,old
274411,young
274418,none
274451,none
274455,none
274870,young
274917,old
275111,old
275117,young
275198,none
275215,old
275268,young
275332,young
275374,none
275393,young
275448,old
275488,young
275717,young
275755,old
